order,ticker,exch,name,displayName,ytd
1,FB,NASDAQ,Facebook-A,Facebook,115.05
2,AMZN,NASDAQ,Amazon.Com,Amazon,749.87
3,AAPL,NASDAQ,Apple,Apple,115.82
4,GOOGL,NASDAQ,Alphabet-A,Alphabet,792.45
5,TSLA,NASDAQ,TSLA,特斯拉,213.69
6,NVDA,NASDAQ,Nvidia,Nvidia,106.74
7,BIDU,NASDAQ,Baidu Sp ADR-A,百度,164.41
8,BABA,NYSE,Alibaba Grp Sp ADS,阿里巴巴,87.81
9,0700,HKG,Tencent Hldg,騰訊控股,189.7
10,MSFT,NASDAQ,Microsoft,微軟,62.14
11,IBM,NYSE,IBM,IBM,165.99
12,ORCL,NYSE,Oracle,甲骨文,38.45
13,INTC,NASDAQ,Intel,英特爾,36.27
14,ADS,FRA,adidas N,adidas,149.8
15,NKE,NYSE,Nike Inc,Nike,50.83
16,KO,NYSE,Coca-Cola Co.,可口可樂,41.46
17,BMW,FRA,BMW,BMW,88.81
18,DAI,FRA,Daimler N,戴姆勒,70.71
19,MS,NYSE,Morgan Stanley,摩根士丹利,42.25
20,GS,NYSE,Goldman Sachs,高盛,239.45
21,JPM,NYSE,JPMorgan Chase,摩根大通,86.29
22,C,NYSE,Citigroup,花旗,59.43
23,V,NYSE,Visa-A,Visa,78.02
24,0005,HKG,HSBC Hldg,匯豐控股,62.25
25,BARC,LON,Barclays,巴克萊銀行,223.45
26,ALV,FRA,Allianz Rg,安聯,156.44
27,BLT,LON,BHP Billiton,必和必拓,1306.5
28,RDSB,LON,Royal Dutch Shell B,殼牌石油,2354
29,XOM,NYSE,Exxon Mobil,埃克森美孚,90.26
30,0001,HKG,CK Hutchison Hldgs,長江和記,87.9
